,delta_ec,theta_ec,alpha_ec,beta_ec,gamma_ec,delta_eo,theta_eo,alpha_eo,beta_eo,gamma_eo,group
sub-057,1.745808775710287e-09,4.6441114431946666e-10,2.6202792516286456e-10,6.296793600205941e-11,2.6271115268938955e-11,1.966456367054404e-09,4.3475636366941846e-10,1.3169788632941245e-10,7.257444320455936e-11,4.910271173267884e-11,c
sub-058,1.8860682518338612e-09,3.069787868582208e-10,1.162025420835009e-09,1.0329676502748974e-10,1.655331874287146e-11,1.19775531447274e-09,2.900843021664703e-10,3.5859010657433533e-10,7.122284482351145e-11,1.5612645969855697e-11,e
sub-059,2.777891333877522e-09,1.1705993666870529e-09,4.591820249949843e-09,2.3174580857358646e-10,3.1430783696979736e-11,2.67594203947229e-09,9.584330542978653e-10,1.2347070995797508e-09,1.687874545588723e-10,3.345209999788891e-11,e
sub-060,9.447374220696759e-10,3.872204212469372e-10,1.595403692496377e-09,1.2093473193470612e-10,4.8379686103251545e-11,8.095483276457875e-10,2.977893742042708e-10,1.2156102604046773e-09,1.1642540559591615e-10,5.899958480005153e-11,e
sub-061,1.5881912616214424e-09,4.953140232503067e-10,3.1192017649247246e-10,5.449108116082756e-11,1.2563766460319465e-11,1.1803853086054679e-09,4.3561766792188196e-10,2.451127354396746e-10,8.143001000544347e-11,5.219141314479209e-11,c
sub-065,1.0649548412376617e-09,2.8973867164353896e-10,3.5006332484510495e-10,5.911040254708396e-11,1.0576520674167431e-11,9.474475806225724e-10,2.4235302562115833e-10,1.705021591965622e-10,5.98005907206706e-11,1.4499226192156026e-11,c
sub-066,8.620720447053213e-10,4.891431493308764e-10,1.6093604098676638e-09,1.3009994526267928e-10,5.960748538849237e-11,8.378500850470465e-10,3.598399312275848e-10,4.976251145538923e-10,1.3334435120932823e-10,7.32397040187635e-11,e
sub-067,1.110899146387133e-09,8.671144624773642e-10,1.471101737138549e-09,1.4907239240337108e-10,4.819140031791382e-11,8.502895436475444e-10,6.803138127951214e-10,1.3804222844880203e-09,1.3685484585062973e-10,3.8460399994222965e-11,e
sub-071,1.1443030314203933e-09,3.5847897385314554e-10,1.5116894609741597e-09,9.855974040507871e-11,3.627502357117344e-11,1.2229747067998629e-09,3.3223071562513914e-10,3.557312333218618e-10,7.007030184004721e-11,3.11451314648855e-11,e
sub-073,1.0960152187195491e-09,4.257215573070146e-10,1.1796659822418206e-09,1.2240733862755274e-10,6.889707972796698e-11,1.1719843291847233e-09,3.314782754885281e-10,1.2322604770147648e-10,1.1002385934912436e-10,1.0064324179537264e-10,c
sub-074,2.1001413422007747e-09,4.760771888542975e-10,2.056000197564205e-09,6.62974866799613e-11,1.7380681610259303e-11,1.9255520397001336e-09,3.9570095948960937e-10,2.5562330289934933e-10,5.426557398017566e-11,1.8461520132979296e-11,c
sub-075,2.3485856776602045e-09,1.6887133873120742e-09,2.1135708458664135e-09,1.2707377077330928e-10,3.832421146060739e-11,2.390988291236672e-09,1.2615501748425328e-09,1.1658798817432405e-09,1.1144762158129053e-10,4.1006596862459654e-11,c
sub-076,1.0194846523574438e-09,4.666157579109609e-10,8.956025691884686e-10,6.756899158733791e-11,2.6419426593390603e-11,1.1330943249673886e-09,3.9348627689639774e-10,2.2497395721029224e-10,6.74784882455546e-11,3.4904768616811176e-11,e
sub-077,9.535406800583379e-10,6.432402227968652e-10,3.5051899519781193e-09,1.4723247761144733e-10,2.850564360323858e-11,8.195352097092148e-10,3.27682406740533e-10,3.414584517695005e-10,9.595109324866042e-11,3.553620744090258e-11,c
sub-079,1.6374484194335516e-09,6.782205834841333e-10,2.8574407359376606e-09,1.6946382787809567e-10,3.247384090424728e-11,1.2332890605484277e-09,4.974345531432667e-10,9.910109717305454e-10,1.2987328418522833e-10,3.549698303547381e-11,c
sub-081,4.997205231836654e-10,2.642262104217552e-10,2.249695870787585e-10,8.619938298261805e-11,9.351623649868598e-12,5.296196073966618e-10,2.5968891573788185e-10,1.8216709951759774e-10,8.128016490522278e-11,1.1161003985170369e-11,c
sub-084,6.453862886493723e-10,3.0526742358529086e-10,2.298017719086436e-09,1.2994864315713247e-10,3.3886938882999143e-11,6.209060025991161e-10,1.6947966509535852e-10,4.950206669967317e-10,9.184549075153962e-11,4.4738315928089405e-11,c
sub-085,8.928729361447707e-10,2.022063006663236e-10,2.3073002721865143e-10,6.093431740768411e-11,4.404652308317808e-11,8.829786646254712e-10,1.9552713831910055e-10,1.8832250035985564e-10,6.160663092213505e-11,4.595878906114682e-11,c
sub-086,6.435851698978969e-10,1.2238304697673312e-09,8.184870586489787e-10,7.391743051705466e-11,1.265882333519641e-11,6.694884059380367e-10,4.915953422838911e-10,2.5728946825640203e-10,6.341238264072915e-11,2.1573552034389325e-11,c
sub-087,2.2278627923137375e-09,1.6654748556133206e-09,2.8940133615046425e-09,1.6459467042819976e-10,2.6004923608922832e-11,2.1094741464450873e-09,1.013051312188733e-09,1.643675538504773e-09,1.092555799542751e-10,2.5911288782067314e-11,c
sub-089,1.2644540605426073e-09,3.3597647225810945e-10,1.8500698157626995e-10,3.809707742399783e-11,2.523735458575746e-11,1.184170859677316e-09,3.3443277947813623e-10,1.4403659924690662e-10,4.7982976871220074e-11,3.6918635823524184e-11,c
sub-092,1.0205969804950709e-09,7.026971927932516e-10,8.070742568841572e-10,5.7751101036974615e-11,1.3194058614633071e-11,9.70100010376208e-10,4.0464881789596784e-10,3.4873488213486364e-10,5.460791188949927e-11,2.1940825072574897e-11,c
sub-093,1.895596107011022e-09,9.085480508902205e-10,4.007888723418224e-09,2.0249208213158165e-10,2.3322613472382746e-11,1.8976765746980002e-09,7.149205820382659e-10,1.0796299578773567e-09,1.364462644508242e-10,2.4036642190450948e-11,e
sub-094,1.3415114480341266e-09,3.9889771137444953e-10,1.967244638126266e-09,1.1491547093011932e-10,2.3838508488883255e-11,1.6261927483010295e-09,4.070945296536671e-10,5.585737461187957e-10,7.880640901936945e-11,2.0216715728558892e-11,e
sub-020,1.7198383345019796e-09,1.1052125168476168e-09,4.195621103613549e-09,2.4524530148396787e-10,4.505613877578248e-11,1.5188702408224925e-09,6.066582712574541e-10,1.6733269450673557e-09,1.3270870529638662e-10,4.757897813380899e-11,
sub-024,1.047056273495553e-09,2.357474339632678e-10,4.720103549014474e-10,1.6060256555450546e-10,3.694263000033347e-11,9.31331475076105e-10,2.2800977027667458e-10,9.736905266130398e-11,7.18505038106111e-11,2.821186039470623e-11,
sub-025,1.2303319158189156e-09,3.661404588434208e-10,1.077909437440657e-09,9.027762706442162e-11,2.7228371655567347e-11,1.370404784816827e-09,3.744905144581269e-10,3.8958097207646926e-10,1.0199977276041417e-10,3.437036516312747e-11,
sub-028,1.082614401852169e-09,7.233472073215523e-10,1.5780251729943115e-09,9.041353360964871e-11,2.071293525238449e-11,1.1376770074031844e-09,3.9685380332538833e-10,2.794713163239465e-10,8.03573601547972e-11,5.7193355446651646e-11,
sub-082,1.289083673987649e-09,4.611145708487826e-10,1.4323196622301393e-09,1.347115028762325e-10,4.4580378012465445e-11,1.6071451153848367e-09,3.9988224977259157e-10,6.082343915752905e-10,1.4639939665067916e-10,8.173001778313702e-11,
sub-083,2.0294134721352678e-09,1.1985030727244635e-09,2.906023143478087e-09,2.0036554599129506e-10,6.683710769446931e-11,1.7423021379501868e-09,1.0497984001680617e-09,1.699262481737219e-09,1.691397122075188e-10,3.880465772353423e-11,
