,group,participant_id,city,condition,trial_number,gamma
13,e,sub-104,krk,eo,13,15.94124751878396
14,e,sub-104,krk,eo,14,16.579170006157305
15,e,sub-104,krk,eo,15,15.194187049910507
16,e,sub-104,krk,eo,16,15.036549537994427
17,e,sub-104,krk,eo,17,15.618374039286337
18,e,sub-104,krk,eo,18,15.073676829209006
19,e,sub-104,krk,eo,19,15.241369794031442
20,e,sub-104,krk,eo,20,15.209902065588143
21,e,sub-104,krk,eo,21,16.050352868706096
22,e,sub-104,krk,eo,22,15.052957761269873
23,e,sub-104,krk,eo,23,15.36456196744034
24,e,sub-104,krk,eo,24,14.76405774318892
25,e,sub-104,krk,eo,25,15.305083904258654
26,e,sub-104,krk,eo,26,15.73350577778674
27,e,sub-104,krk,eo,27,15.074215089294183
28,e,sub-104,krk,eo,28,15.01634202048537
29,e,sub-104,krk,eo,29,15.186795284951414
30,e,sub-104,krk,eo,30,15.972754735397185
31,e,sub-104,krk,eo,31,15.08287030111869
32,e,sub-104,krk,eo,32,14.652498546982052
33,e,sub-104,krk,eo,33,15.327587642074334
34,e,sub-104,krk,eo,34,15.57035831345519
35,e,sub-104,krk,eo,35,14.507546796311498
36,e,sub-104,krk,eo,36,14.731501356990043
37,e,sub-104,krk,eo,37,14.6545025275483
38,e,sub-104,krk,eo,38,14.99820118509012
39,e,sub-104,krk,eo,39,14.833612317471017
40,e,sub-104,krk,eo,40,15.054608049040052
41,e,sub-104,krk,eo,41,15.238364356171488
42,e,sub-104,krk,eo,42,15.676766843879873
43,e,sub-104,krk,eo,43,15.501606740051539
44,e,sub-104,krk,eo,44,15.612334338016293
45,e,sub-104,krk,eo,45,15.196865446886797
46,e,sub-104,krk,eo,46,15.10286501432294
47,e,sub-104,krk,eo,47,15.10307818955029
